goos_eov,ceda_eov
dissolvedOrganicCarbon,dissolvedOrganicCarbon
fishAbundanceAndDistribution,fishAbundanceAndDistribution
hardCoralCoverAndComposition,hardCoralCoverAndComposition
inorganicCarbon,inorganicCarbon
invertebrateAbundanceAndDistribution,invertebrateAbundanceAndDistribution
macroalgalCanopyCoverAndComposition,macroalgalCanopyCoverAndComposition
marineDebris,marineDebris
marineTurtlesBirdsMammalsAbundanceAndDistribution,marineTurtlesBirdsMammalsAbundanceAndDistribution
microbeBiomassAndDiversity,microbeBiomassAndDiversity
nitrousOxide,nitrousOxide
nutrients,nutrients
oceanColour,oceanColour
oceanSound,oceanSound
oceanSurfaceHeatFlux,oceanSurfaceHeatFlux
oceanSurfaceStress,oceanSurfaceStress
oxygen,oxygen
particulateMatter,particulateMatter
phytoplanktonBiomassAndDiversity,phytoplanktonBiomassAndDiversity
seagrassCoverAndComposition,seagrassCoverAndComposition
seaIce,seaIce
seaState,seaState
seaSurfaceHeight,seaSurfaceHeight
seaSurfaceSalinity,salinity
seaSurfaceTemperature,temperature
stableCarbonIsotopes,stableCarbonIsotopes
subSurfaceCurrents,currents
subSurfaceSalinity,salinity
subSurfaceTemperature,temperature
surfaceCurrents,currents
transientTracers,transientTracers
zooplanktonBiomassAndDiversity,zooplanktonBiomassAndDiversity
